No,Site_name,Cover_type,Latitude,Longitude,Elevation,used,LAI,MOD_LAI,LAI_ratio,MAT,MAP,Year_start,Year_end,Year,CO2,PAR_in,PAR_out,SWC,Tower_h,Canopy_h,TAXNWRB,TAXOUSDA,MOD_LUCC,CP,INST,Tower_hnew,Canopy_hnew,CP_new,INST_new
27,CN-Cng,GRA,44.5934,123.5092,,TRUE,NaN,1.365008322,1.466563819,,,2007,2010,4,1,1,0,1,2.55,0.209054815,36,75,GRA,0,GA_OP-LI-COR LI-7500,2,0.595,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
28,DE-Geb,CRO,51.1001,10.9143,161.5,TRUE,NaN,2.775663491,2.810442846,8.5,470,2001,2014,14,1,1,1,1,6,0.672686025,27,76,CRO,1,Li6262,3.608692308,0.328081395,1,GA_CP-LI-COR LI-6262;SA-Gill R3-50
29,DE-Gri,GRA,50.95,13.5126,385,FALSE,NaN,2.833636146,NaN,7.8,901,2004,2014,11,1,1,1,1,3,0.455368578,27,89,MF,1,"e LI-7500 (2002_February 2005), LI-6262 (February 2005_July 2005) and LI-7000 (since July 2005)",3,0.213604938,0,GA_OP-LI-COR LI-7500;SA-Metek USA-1 Fast
30,DE-Hai,DBF,51.0792,10.453,430,FALSE,6.6,3.578231189,NaN,8.3,720,2000,2012,13,1,1,1,1,43.5,30.25301913,27,89,MF,1,LiCor 6262_3,42,33.84615385,1,GA_CP-LI-COR LI-6262;SA-Gill R3-50
31,DE-Kli,CRO,50.8931,13.5224,478,TRUE,NaN,2.959562319,2.810442846,7.6,842,2004,2014,11,1,1,1,1,3.5,0.603387655,27,89,CRO,1,LI-7000,3.5,0.461237374,1,GA_CP-LI-COR LI-7000;SA-Gill R3-50
32,DE-Lkb,ENF,49.0996,13.3047,1308,TRUE,NaN,3.198925162,2.810442846,4,1599,2009,2013,5,1,1,0,1,9,2,98,18,ENF,0,LI-7500,9,2,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
33,DE-Obe,ENF,50.7867,13.7213,734,TRUE,NaN,3.347402046,2.810442846,5.5,996,2008,2014,7,1,1,1,1,30,16,27,18,ENF,,,30,19.64285714,1,GA_CP-LI-COR LI-7000;SA-Metek USA-1 Fast
34,DE-Seh,CRO,50.8706,6.4497,103,TRUE,NaN,2.050855434,1.58298986,9.9,693,2007,2010,4,1,0,0,1,3,0.715467647,79,84,CRO,0,LI-7500,1.89,0.432280711,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
35,DE-Tha,ENF,50.9624,13.5652,385,TRUE,7.6,2.704200162,2.810442846,8.2,843,1996,2014,19,1,1,1,1,42,26.5,27,89,ENF,1,"LI-6262 1996_2006, LI-7000 2006_present",42,28.21052632,1,GA_CP-LI-COR LI-6262;SA-Gill R2
36,DK-Sor,DBF,55.4859,11.6446,40,FALSE,5,3.186675807,NaN,8.2,660,1996,2014,19,1,1,1,1,57,25,78,97,CRO,1,LI6262 or LI-7000,43.5,27.66842105,1,GA_CP-LI-COR LI-6262;SA-Gill R2
37,FI-Hyy,ENF,61.8474,24.2948,181,TRUE,6.7,3.247161395,2.063340618,3.8,709,1996,2014,19,1,1,1,1,23,13,98,89,ENF,1,LI-6262,32.8,14.98210526,1,GA_CP-LI-COR LI-6262;SA-Gill R2
38,FI-Jok,CRO,60.8986,23.5135,109,FALSE,NaN,2.804502885,NaN,4.6,627,2000,2003,4,1,1,1,1,3,0.2,98,89,WSA,1,LI-6262,3,0.530705882,1,GA_CP-LI-COR LI-6262;SA-ATI
39,FI-Sod,ENF,67.3619,26.6378,180,FALSE,1.2,1.843761298,NaN,-1,500,2001,2014,14,1,1,0,1,48,33.35084064,27,89,WSA,1,LI-7000,23.5,12.85,1,GA_CP-LI-COR LI-7000;SA-ATI
40,FR-Gri,CRO,48.8442,1.9519,125,TRUE,NaN,2.534302629,0.692571742,12,650,2004,2013,10,1,1,1,1,3.17,0.601200353,27,84,CRO,0,LI-7500,3.4125,0.588285714,0,GA_OP-LI-COR LI-7500;SA-Gill R3-50
41,FR-LBr,ENF,44.7171,-0.7693,61,TRUE,3.2,2.487832996,1.286259972,13.6,900,1996,2008,13,1,1,1,1,38,15.92178837,1,97,ENF,1,LI-6262,37,20.19960769,1,GA_CP-LI-COR LI-6262;SA-Gill R2
42,GF-Guy,EBF,5.2788,-52.9249,48,FALSE,6.74,4.827495382,NaN,25.7,3041,2004,2014,11,1,1,0,1,58,35,44,62,EBF,0,LI-7500,58,35,0,GA_OP-LI-COR LI-7500;SA-Gill HS-50
43,IT-CA1,DBF,42.3804,12.0266,200,FALSE,NaN,2.296675626,NaN,14,766,2011,2014,4,1,1,0,1,6.7,2.9524424,27,89,WSA,0,LI-7500,4.23,3.619303846,0,GA_OP-LI-COR LI-7500;SA-Gill R3-50
44,IT-CA2,CRO,42.3772,12.026,200,FALSE,NaN,2.296675626,NaN,14,766,2011,2014,4,1,1,0,1,3.2,0.408056937,72,89,WSA,0,LI-7500A,3.2,0.228809524,0,GA_OP-LI-COR LI-7500A;SA-Metek USA-1 Fast
45,IT-CA3,DBF,42.38,12.0222,197,FALSE,NaN,2.296675626,NaN,14,766,2011,2014,4,1,1,0,1,5.5,2.933876026,27,75,GRA,0,LI-7500,7.833333333,2.187113043,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
46,IT-Col,DBF,41.8494,13.5881,1560,FALSE,6.6,3.446748555,NaN,6.3,1180,1996,2014,19,1,1,1,1,25.2,20.2,27,85,MF,1,LI-6262,30.42857143,21.46842105,1,GA_CP-LI-COR LI-6262;SA-Gill R2
47,IT-Cp2,EBF,41.7043,12.3573,19,FALSE,NaN,2.44767307,NaN,15.2,805,2012,2014,3,1,0,0,1,19.7,14.9,27,83,ENF,1,LI-7200,19.7,12.8,1,GA_CP-LI-COR LI-7200;SA-Gill Windmaster
48,IT-Cpz,EBF,41.7053,12.3761,68,FALSE,3.5,2.44767307,NaN,15.6,780,1997,2009,13,1,1,0,1,15,10,27,94,MF,,,27.33333333,14.05555556,1,GA_CP-LI-COR LI-6262;SA-Gill R2
49,IT-Lav,ENF,45.9562,11.2813,1353,FALSE,NaN,3.570357403,NaN,7.8,1291,2003,2014,12,1,1,0,1,33,33.96711482,27,18,MF,,,37,28,0,GA_OP-LI-COR LI-7500;SA-Gill R3-50
50,IT-MBo,GRA,46.0147,11.0458,1550,FALSE,2.5,3.594901267,NaN,5.1,1214,2003,2013,11,1,1,0,1,2.5,0.3,98,18,MF,0,LI-7500,2.61,0.3,0,GA_OP-LI-COR LI-7500;SA-Gill R3-100
51,IT-Noe,CSH,40.6062,8.1517,25,FALSE,2.1,1.589303569,NaN,15.9,588,2004,2014,11,1,1,0,1,3,2,27,73,MF,0,LI-7500,3.5,1.054545455,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
52,IT-PT1,DBF,45.2009,9.061,60,FALSE,4.45,2.4608085,NaN,12.7,984,2002,2004,3,1,1,0,1,30,27.29515886,27,89,WSA,1,LI-6262 LI-7000 ,31.16666667,26.6,1,GA_CP-LI-COR LI-6262;SA-Metek USA-1 Fast
53,IT-Ren,ENF,46.5869,11.4337,1730,FALSE,5.11,3.002510559,NaN,4.7,809,1998,2013,16,1,1,1,1,30,25.35713109,98,18,MF,0,LI-7500,35,29,1,GA_CP-LI-COR LI-6262;SA-Gill R2
54,IT-Ro2,DBF,42.3903,11.9209,160,FALSE,4.08,2.865505611,NaN,15.15,876,2002,2012,11,1,1,0,1,20,14,27,73,SAV,1,GA_CP-LI-COR LI-7000,18,13.5,1,GA_CP-LI-COR LI-6262;SA-Metek USA-1 Fast
55,IT-SRo,ENF,43.7279,10.2844,6,TRUE,NaN,2.550671853,2.490653997,14.2,920,1999,2012,14,1,1,1,1,23.5,18.58268286,27,97,ENF,1,LI-6262,22.1,18.7,1,GA_CP-LI-COR LI-6262;SA-Other
56,IT-Tor,GRA,45.8444,7.5781,2160,FALSE,2.2,2.107251337,NaN,2.9,920,2008,2014,7,1,1,0,1,2.5,1.078468826,98,18,OSH,0,LI-7500,2.21,0.2,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
57,NL-Loo,ENF,52.1666,5.7436,25,TRUE,2.1,2.456187636,0.85498354,9.8,786,1996,2013,18,1,1,1,1,24,14,98,18,ENF,1,LI-6262 ,26,16.99210526,0,GA_OP-Krypton Hygrometer;SA-Gill R2
58,RU-Fyo,ENF,56.4615,32.9221,265,TRUE,3,3.566312623,0.841204997,3.9,711,1998,2014,17,1,1,0,1,48,44.06246096,9,18,ENF,1,LI-6262 ,29,25.40588235,1,GA_CP-LI-COR LI-6262;SA-Gill R3-100
59,RU-Ha1,GRA,54.7252,90.0022,446,FALSE,NaN,1.230518083,NaN,,,2002,2004,3,1,1,0,1,4.5,0.161063012,37,71,CRO,0,LI-7500,4,0.5,0,GA_OP-LI-COR LI-7500;SA-Gill R3-50
60,SD-Dem,SAV,13.2829,30.4783,500,FALSE,1.4,0.575129082,NaN,26,320,2005,2009,5,1,1,1,1,2.5,0.749422134,17,97,GRA,0,LI-7500,9,5,0,GA_OP-LI-COR LI-7500;SA-Gill R3-50
61,US-AR1,GRA,36.4267,-99.42,611,TRUE,NaN,1.08249504,1.349891025,,,2009,2012,4,1,1,1,1,2.84,0.482389003,21,93,GRA,0,GA_OP-LI-COR LI-7500,2.84,0.5,0,GA_OP-LI-COR LI-7500;SA-Gill Windmaster Pro
62,US-AR2,GRA,36.6358,-99.5975,646,FALSE,NaN,1.009504568,NaN,,,2009,2012,4,1,1,1,1,2.95,0.159860404,79,97,OSH,0,GA_OP-LI-COR LI-7500,2.95,0.25,0,GA_OP-LI-COR LI-7500;SA-Gill Windmaster Pro
63,US-ARM,CRO,36.6058,-97.4888,314,TRUE,NaN,1.541304863,2.151264079,14.76,843,2003,2012,10,1,1,1,1,4,0.5,67,75,CRO,0,GA_OP-LI-COR LI-7500,3.8,0.191111111,0,GA_OP-LI-COR LI-7500;SA-Gill Windmaster Pro
64,US-Blo,ENF,38.8953,-120.6328,1315,TRUE,4.63,3.757956173,1.232052687,11.09,1226,1997,2007,11,1,1,0,1,12,7,79,23,ENF,1,GA_CP-LI-COR LI-6262,10.9,2.59,1,GA_CP-LI-COR LI-6262;SA-ATI
65,US-GLE,ENF,41.3665,-106.2399,3197,TRUE,4.5,1.497642765,3.00472189,0.8,1200,2004,2014,11,1,1,1,1,23,15.13533631,27,89,ENF,1,LI-7000,22.65,9.725,0,GA_OP-LI-COR LI-7500;SA-ATI Vx Style
66,US-KS2,CSH,28.6086,-80.6715,3,FALSE,2.5,2.991461347,NaN,21.66,1294,2003,2006,4,1,1,0,1,3.5,1.5,17,97,EBF,1,LI-6262 ,3.65,1.5,1,GA_CP-LI-COR LI-6262;SA-Gill R3-100
67,US-Me2,ENF,44.4523,-121.5574,1253,TRUE,3.58,2.028083081,1.765213681,6.28,523,2002,2014,13,1,1,0,1,29,16.59405348,14,21,ENF,0,LI-7500,33,15.66333333,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
68,US-MMS,DBF,39.3232,-86.4131,275,TRUE,4.62,4.472866547,1.032894666,10.85,1032,1999,2014,16,1,1,0,1,46,26,79,84,DBF,1,LI-7000,46,26,1,GA_CP-LI-COR LI-6262;SA-Campbell CSAT-3
69,US-Ne1,CRO,41.1651,-96.4766,361,TRUE,NaN,2.417251068,0.813878752,10.07,790,2001,2013,13,1,1,1,1,6,1,89,76,CRO,1,LI-6262 ,4.536,1.568529412,1,GA_CP-LI-COR LI-6262;SA-Gill R3-100
70,US-Ne2,CRO,41.1649,-96.4701,362,TRUE,NaN,2.417251068,0.813878752,10.08,789,2001,2013,13,1,1,1,1,6,1.839611831,87,76,CRO,1,LI-6262 ,4.505882353,1.127826531,1,GA_CP-LI-COR LI-6262;SA-Gill R3-100
71,US-Ne3,CRO,41.1797,-96.4397,363,TRUE,NaN,2.209760415,0.813878752,10.11,784,2001,2013,13,1,1,1,1,6,1,89,76,CRO,1,LI-6262 ,4.476923077,0.965304688,1,GA_CP-LI-COR LI-6262;SA-Gill R3-100
72,US-NR1,ENF,40.0329,-105.5464,3050,TRUE,3.65,1.696676868,2.151264079,1.5,800,1998,2014,17,1,1,1,1,26,11.5,27,89,ENF,1,LI-6262 ,21.5,13.43333333,1,GA_CP-LI-COR LI-6262;SA-Campbell CSAT-3
73,US-SRG,GRA,31.7894,-110.8277,1291,FALSE,1.7,1.101285231,NaN,17,420,2008,2014,7,1,1,1,1,3.25,0.5,79,54,OSH,0,GA_OP-LI-COR LI-7500,3.25,0.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
74,US-SRM,WSA,31.8214,-110.8661,1120,FALSE,0.5,0.705833581,NaN,17.92,380,2004,2014,11,1,1,1,1,6.4,2.5,79,54,OSH,0,LI-7500,7.82,2.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
75,US-Syv,MF,46.242,-89.3477,540,TRUE,7.53,4.678351354,1.60954136,3.81,826,2001,2014,14,1,1,0,1,36,22,98,18,MF,1,LI-6262 ,36,27.5,1,GA_CP-LI-COR LI-6262;SA-Campbell CSAT-3
76,US-Ton,WSA,38.4316,-120.966,177,TRUE,3.28,2.166760159,1.513780834,15.8,559,2001,2014,14,1,1,1,1,23,9,79,83,WSA,0,LI-7500,23.5,9.9,0,GA_OP-LI-COR LI-7500;SA-Gill Windmaster Pro
77,US-UMB,DBF,45.5598,-84.7138,234,FALSE,7.76,4.044014874,NaN,5.83,803,2000,2014,15,1,1,0,1,46,21,98,18,DBF,1,LI-6262 and LI-7000,46,23,1,GA_CP-LI-COR LI-6252;SA-Campbell CSAT-3
78,US-UMd,DBF,45.5625,-84.6975,239,FALSE,4.52,4.077799213,NaN,5.83,803,2007,2014,8,1,1,0,1,34,22,98,18,WAT,1,LI-6262 and LI-7000,32,23,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
79,US-Var,GRA,38.4133,-120.9507,129,FALSE,3.9525,2.166760159,NaN,15.8,559,2000,2014,15,1,1,1,1,2,0.55,79,83,SAV,0,LI-7500,2,0.286393074,0,GA_OP-LI-COR LI-7500;SA-Gill Windmaster Pro
80,US-WCr,DBF,45.8059,-90.0799,520,TRUE,5.36,4.560653858,1.175270075,4.02,787,1999,2014,16,1,1,0,1,30,24.2,98,18,DBF,1,LI-6262 ,29.6,24.3,1,GA_CP-LI-COR LI-6262;SA-Campbell CSAT-3
81,US-Wkg,GRA,31.7365,-109.9419,1531,TRUE,0.9,0.666720486,1.349891025,15.64,407,2004,2014,11,1,1,1,1,6.4,0.522367636,79,54,GRA,1,LI-6262 ,4.8,0.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
82,ZM-Mon,DBF,-15.4378,23.2528,1053,FALSE,1.7,1.566872856,NaN,25,945,2000,2009,10,1,1,1,1,33,18.24309262,98,97,SAV,1,LI-7000,19.5,12,1,GA_CP-LI-COR LI-7000;SA-Gill R3-50
83,AR-Vir,ENF,-28.2395,-56.1886,NULL,FALSE,NaN,2.639313615,NaN,NULL,NULL,2009,2012,4,,,,,,,,,SAV,,GA_OP-LI-COR LI-7500,18,13.33333333,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
84,AU-Ade,WSA,-13.0769,131.1178,NULL,TRUE,2.04,1.864433491,1.094166142,NULL,NULL,2007,2009,3,,,,,,,,,WSA,,,21,12.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
85,AU-Cum,EBF,-33.61518,150.72362,NULL,FALSE,2.0332,1.640016359,NaN,NULL,NULL,2012,2014,3,,,,,,,,,WSA,,,29,23,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
86,AU-Fog,WET,-12.5452,131.3072,NULL,FALSE,3.4408,2.117135218,NaN,27.02,1323.69,2006,2008,3,,,,,,,,,SAV,,,7.5,1,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
87,AU-GWW,SAV,-30.1913,120.6541,NULL,FALSE,NaN,0.451445141,NaN,NULL,NULL,2013,2014,2,,,,,,,,,OSH,,,36,18,0,GA_OP-LI-COR LI-7500A;SA-Campbell CSAT-3
88,AU-Lox,DBF,-34.4704,140.6551,NULL,FALSE,NaN,0.98178122,NaN,NULL,NULL,2008,2009,2,,,,,,,,,CRO,,,10,5.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
89,AU-RDF,WSA,-14.5636,132.4776,NULL,TRUE,NaN,1.532549324,1.094166142,NULL,NULL,2011,2013,3,,,,,,,,,SAV,,,21,16,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
90,AU-Rob,EBF,-17.1175,145.6301,NULL,TRUE,NaN,5.118665786,1.171933415,NULL,NULL,2014,2014,1,,,,,,,,,EBF,,,40,28,0,GA_OP-LI-COR LI-7500A;SA-Campbell CSAT-3
91,AU-TTE,GRA,-22.287,133.64,NULL,FALSE,0.4692,0.439046199,NaN,NULL,NULL,2012,2014,3,,,,,,,,,OSH,,,9.81,5,0,GA_OP-LI-COR LI-7500A;SA-Campbell CSAT-3
92,BE-Bra,MF,51.30761,4.51984,16,TRUE,2.1,3.032176845,0.692571742,9.8,750,1996,2014,19,,,,,,,,,MF,,,41,21.215625,1,GA_CP-LI-COR LI-6262;SA-Gill R2
93,BR-Sa1,EBF,-2.85667,-54.95889,88,FALSE,5.18,5.338546751,NaN,26.13,2074.79,2002,2011,10,,,,,,,,,EBF,,,57.9,28.69366667,1,GA_CP-LI-COR LI-6262;SA-Campbell CSAT-3
94,CA-Gro,MF,48.2167,-82.1556,340,TRUE,4.3,3.589924169,1.197796889,1.3,831,2003,2014,12,,,,,,,,,MF,,,43.3,31,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
95,CA-Man,ENF,55.87962,-98.48081,259,FALSE,NaN,2.708678856,NaN,-3.2,520,1994,2008,15,,,,,,,,,ENF,,,31,9.1,1,GA_CP-LI-COR LI-6262;SA-ATI SATI K Style
96,CA-NS1,ENF,55.87917,-98.48389,260,FALSE,5.68,2.708678856,NaN,-2.89,500.29,2001,2005,5,,,,,,,,,ENF,,,24,16,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
97,CA-NS2,ENF,55.90583,-98.52472,260,FALSE,7.8,2.582133069,NaN,-2.88,499.82,2001,2005,5,,,,,,,,,ENF,,,20,16,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
98,CA-NS3,ENF,55.91167,-98.38222,260,FALSE,5.33,2.62520968,NaN,-2.87,502.22,2001,2005,5,,,,,,,,,ENF,,,10,4,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
99,CA-NS4,ENF,55.91437,-98.380645,260,FALSE,NaN,2.62520968,NaN,-2.87,502.22,2002,2005,4,,,,,,,,,ENF,,,10,2,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
100,CA-NS5,ENF,55.86306,-98.485,260,FALSE,5.49,2.708678856,NaN,-2.86,500.34,2001,2005,5,,,,,,,,,ENF,,,9,5,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
101,CA-NS6,OSH,55.91667,-98.96444,244,FALSE,2.97,2.399958179,NaN,-3.08,495.37,2001,2005,5,,,,,,,,,ENF,,,6,2,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
102,CA-NS7,OSH,56.63583,-99.94833,297,FALSE,1.36,1.820738223,NaN,-3.52,483.27,2002,2005,4,,,,,,,,,ENF,,,6,1,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
103,CA-Oas,DBF,53.62889,-106.19779,530,FALSE,3.04,3.89371118,NaN,0.34,428.53,1996,2010,15,,,,,,,,,MF,,,39,21,1,GA_CP-LI-COR LI-6262;SA-Gill R3-100
104,CA-Obs,ENF,53.98717,-105.11779,628.94,TRUE,3.41,2.624570813,1.299260048,0.79,405.6,1997,2010,14,,,,,,,,,ENF,,,25,11,1,GA_CP-LI-COR LI-6262;SA-Gill R3-100
105,CA-SF3,OSH,54.09156,-106.00526,540,FALSE,1.1,2.715227919,NaN,0.4,470,2001,2006,6,,,,,,,,,ENF,,,15,18,1,GA_CP-LI-COR LI-6262;SA-Campbell CSAT-3
106,CA-TP1,ENF,42.66093611,-80.55951944,265,FALSE,0.45,2.699406157,NaN,8,1036,2002,2014,13,,,,,,,,,CRO,,,5.333333333,3.544444444,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
107,CA-TP2,ENF,42.77441944,-80.458775,212,FALSE,12.8,2.469444093,NaN,8,1036,2002,2007,6,,,,,,,,,CVM,,,15,10.3,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
108,CA-TP3,ENF,42.70681111,-80.34831389,184,FALSE,5.9,2.822728676,NaN,8,1036,2002,2014,13,,,,,,,,,MF,,,18.66666667,13.3,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
109,CA-TP4,ENF,42.710161,-80.357376,184,FALSE,8,2.856026456,NaN,8,1036,2002,2014,13,,,,,,,,,MF,,,28,21.83333333,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
110,CA-TPD,DBF,42.635328,-80.557731,260,FALSE,3.98,2.721651381,NaN,8,1036,2012,2014,3,,,,,,,,,CVM,,,35.7,25.7,1,GA_CP-LI-COR LI-7200;SA-Campbell CSAT-3
111,CG-Tch,SAV,-4.28917,11.65642,82,FALSE,NaN,1.772078103,NaN,25.7,1150,2006,2009,4,,,,,,,,,OSH,,,3.88,0.627765957,0,GA_OP-LI-COR LI-7500;SA-Young 81000
112,CH-Lae,MF,47.47833,8.36439,689,FALSE,NaN,3.2374443,NaN,8.3,1100,2004,2014,11,,,,,,,,,MF,,,47,37,0,GA_OP-LI-COR LI-7500;SA-Gill HS-50
113,CH-Oe1,GRA,47.28583,7.73194,450,FALSE,4.85,2.994954876,NaN,9,1100,2002,2008,7,,,,,,,,,CRO,,,1.2,0.17625,0,GA_OP-LI-COR LI-7500;SA-Gill HS-100
114,CH-Oe2,CRO,47.28642,7.73375,452,FALSE,NaN,2.994954876,NaN,9.8,1155,2004,2014,11,,,,,,,,,CRO,,,2.083333333,0.5,0,GA_OP-LI-COR LI-7500;SA-Gill R3-50
115,CN-Cha,MF,42.4025,128.0958,NULL,FALSE,6,4.067135357,NaN,2.16,663.59,2003,2005,3,,,,,,,,,DBF,,,40,32,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
116,CN-Dan,GRA,30.4978,91.0664,NULL,FALSE,NaN,1.217359378,NaN,-1.54,246.88,2004,2005,2,,,,,,,,,GRA,,,2.1,0.1,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
117,CN-Din,EBF,23.1733,112.5361,NULL,FALSE,4,3.741312019,NaN,19.64,1618.1,2003,2005,3,,,,,,,,,EBF,,,27,16.86666667,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
118,CN-Du2,GRA,42.0467,116.2836,NULL,TRUE,NaN,1.318107241,1.466563819,2.01,318.96,2006,2008,3,,,,,,,,,GRA,,,4,0.433333333,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
119,CN-Du3,GRA,42.0551,116.2809,NULL,TRUE,NaN,1.296446505,1.466563819,NULL,NULL,2009,2010,2,,,,,,,,,GRA,,,2,0.25,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
120,CN-Ha2,WET,37.6086,101.3269,NULL,FALSE,2.8,3.133928483,NaN,NULL,NULL,2003,2005,3,,,,,,,,,GRA,,,2.5,0.65,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
121,CN-HaM,GRA,37.37,101.18,NULL,TRUE,2.8,1.909224791,1.466563819,NULL,NULL,2002,2004,3,,,,,,,,,GRA,,,2.2,0.3,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
122,CN-Qia,ENF,26.7414,115.0581,NULL,FALSE,3.5,2.957192589,NaN,18.95,1466.75,2003,2005,3,,,,,,,,,MF,,,39,11,0,GA_OP-LI-COR LI-7500A;SA-Campbell CSAT-3
123,CN-Sw2,GRA,41.7902,111.8971,NULL,FALSE,NaN,0.591790659,NaN,NULL,NULL,2010,2012,3,,,,,,,,,GRA,,,2,0.2,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
124,CZ-BK1,ENF,49.50208,18.53688,875,FALSE,NaN,3.130084777,NaN,6.7,1316,2004,2014,11,,,,,,,,,ENF,,,16.9,11.35882353,1,GA_CP-LI-COR LI-7000;SA-Gill R3-100
125,CZ-BK2,GRA,49.49443,18.54285,855,FALSE,NaN,3.149617842,NaN,6.7,1316,2004,2012,9,,,,,,,,,ENF,,,1.5,0.1,1,GA_CP-LI-COR LI-6262;SA-Gill R3-50
126,CZ-wet,WET,49.02465,14.77035,426,FALSE,NaN,2.589721024,NaN,7.7,604,2006,2014,9,,,,,,,,,WAT,,,2.6,1,0,GA_OP-LI-COR LI-7500;SA-Gill R3-100
127,DE-Akm,WET,53.86617,13.68342,-1,FALSE,NaN,2.825662663,NaN,8.7,558,2009,2014,6,,,,,,,,,URB,,,9.5,4,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
128,DE-Lnf,DBF,51.32822,10.3678,451,FALSE,4.2,2.839832698,NaN,6.96,894.6,2002,2012,11,,,,,,,,,MF,,,44,34.54545455,1,GA_CP-LI-COR LI-6262;SA-Gill R3-50
