No,Site_name,Cover_type,Latitude,Longitude,Elevation,used,LAI,MOD_LAI,LAI_ratio,MAT,MAP,Year_start,Year_end,Year,CO2,PAR_in,PAR_out,SWC,Tower_h,Canopy_h,TAXNWRB,TAXOUSDA,MOD_LUCC,CP,INST,Tower_hnew,Canopy_hnew,CP_new,INST_new
156,NL-Hor,GRA,52.24035,5.0713,2.2,FALSE,NaN,2.67764469,NaN,10,800,2004,2011,8,,,,,,,,,WSA,,,4.3,0.823282308,0,GA_OP-LI-COR LI-7500;SA-Gill Windmaster Pro
157,PA-SPn,DBF,9.31814,-79.6346,78,FALSE,5.4,4.218346491,NaN,26.5,2350,2007,2009,3,,,,,,,,,GRA,,,15,10,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
158,PA-SPs,GRA,9.31378,-79.63143,68,FALSE,NaN,4.218346491,NaN,26.5,2350,2007,2009,3,,,,,,,,,EBF,,,3,0.09,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
159,RU-Che,WET,68.61304,161.34143,6,FALSE,NaN,1.485870449,NaN,-11,197,2002,2005,4,,,,,,,,,OSH,,,5.5,0.46875,1,GA_CP-LI-COR LI-6262;SA-Gill R3-50
160,RU-Cok,OSH,70.82914,147.49428,48,TRUE,1.5,1.115025653,1.345260529,-14.3,232,2003,2014,12,,,,,,,,,OSH,,,4.7,0.5,0,GA_OP-LI-COR LI-7500;SA-Gill R3-50
161,RU-Sam,GRA,72.3738,126.4958,NULL,FALSE,NaN,0.517183607,NaN,NULL,NULL,2002,2014,13,,,,,,,,,WAT,,,NaN,NaN,NaN,NaN
162,RU-SkP,DNF,62.255,129.168,246,FALSE,1,2.429006907,NaN,NULL,NULL,2012,2014,3,,,,,,,,,GRA,,,NaN,NaN,NaN,NaN
163,RU-Tks,GRA,71.59427,128.88782,7,FALSE,NaN,0.845198434,NaN,-12.7,323,2010,2014,5,,,,,,,,,OSH,,,NaN,NaN,NaN,NaN
164,RU-Vrk,CSH,67.05468,62.94047,100,FALSE,NaN,2.031943532,NaN,-5.6,501,2008,2008,1,,,,,,,,,OSH,,,NaN,NaN,NaN,NaN
165,SE-St1,WET,68.35415,19.05033,351,FALSE,NaN,1.772567838,NaN,-0.7,303.3,2012,2014,3,,,,,,,,,WSA,,,NaN,NaN,NaN,NaN
166,SJ-Adv,WET,78.186,15.923,17,FALSE,NaN,0.313318742,NaN,NULL,NULL,2011,2014,4,,,,,,,,,BSV,,,2.8,0.010417,1,GA_CP-LI-COR LI-7200;SA-Metek USA-1 Fast
167,SJ-Blv,SNO,78.92163,11.83109,25,FALSE,NaN,0.138379992,NaN,-4.5,400,2008,2009,2,,,,,,,,,WAT,,,2.633333333,0.075,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
168,SN-Dhr,SAV,15.40278,-15.43222,40,FALSE,NaN,1.218350293,NaN,29,404,2010,2013,4,,,,,,,,,GRA,,,9,1.58,0,GA_OP-LI-COR LI-7500;SA-Gill R3-50
169,US-ARb,GRA,35.5497,-98.0402,424,TRUE,NaN,1.583097979,1.349891025,NULL,NULL,2005,2006,2,,,,,,,,,GRA,,,3.6,0.1,0,GA_OP-LI-COR LI-7500;SA-Gill Windmaster Pro
170,US-ARc,GRA,35.54649,-98.04,424,TRUE,NaN,1.583097979,1.349891025,NULL,NULL,2005,2006,2,,,,,,,,,GRA,,,4.15,0.4,0,GA_OP-LI-COR LI-7500;SA-Gill Windmaster Pro
171,US-Atq,WET,70.4696,-157.4089,15,FALSE,1.1,0.519510916,NaN,-9.7,93,2003,2008,6,,,,,,,,,GRA,,,2.42,0.2,1,GA_CP-LGR 911-0010;SA-Campbell CSAT-3
